ID	UnitTypeID	ItemName	Scale	Offset	OperationID	Notes
1	5	acre	4046.856	0	1	Advances in Well Test Analysis
2	5	darcy	9.86923E-13	0	1	Advances in Well Test Analysis
3	5	ft2	0.09290304	0	1	Advances in Well Test Analysis
4	5	hectre	10000	0	1	Advances in Well Test Analysis
5	5	mile2	2589988	0	1	Advances in Well Test Analysis
6	5	in2	0.00064516	0	1	Advances in Well Test Analysis
7	5	cm2	0.0001	0	1	Advances in Well Test Analysis
8	5	m2	1	0	1	Advances in Well Test Analysis
9	4	g/cm3	1000	0	1	Advances in Well Test Analysis
10	4	lb/ft3	16.01846	0	1	Advances in Well Test Analysis
11	4	lb/gallon	119.8264	0	1	Advances in Well Test Analysis
12	4	kg/m3	1	0	1	Advances in Well Test Analysis
13	4	SG(60/60)	999.022	0	1	Perry 6th ed. P. 3-75 (from Dr. Satyro)
14	6	dyne	0.00001	0	1	Advances in Well Test Analysis
15	6	kg-force	9.80665	0	1	Advances in Well Test Analysis
16	6	lb-force	4.448222	0	1	Advances in Well Test Analysis
17	6	N	1	0	1	Advances in Well Test Analysis
18	7	m	1	0	1	Advances in Well Test Analysis
19	7	angstrom	1E-10	0	1	Advances in Well Test Analysis
20	7	cm	0.01	0	1	Advances in Well Test Analysis
21	7	ft	0.3048	0	1	Advances in Well Test Analysis
22	7	in	0.0254	0	1	Advances in Well Test Analysis
23	7	micron	0.000001	0	1	Advances in Well Test Analysis
24	7	mile(US)	1609.344	0	1	Advances in Well Test Analysis
25	3	m3	1	0	1	Advances in Well Test Analysis
26	3	acre-ft	1233.482	0	1	Advances in Well Test Analysis
27	3	bbl	0.1589873	0	1	Advances in Well Test Analysis
28	3	ft3	0.02831685	0	1	Advances in Well Test Analysis
29	3	gallon	0.003785412	0	1	Advances in Well Test Analysis
30	3	litre	0.001000028	0	1	API Technical Data Book
31	8	kg	1	0	1	Advances in Well Test Analysis
32	8	gm	0.001	0	1	Advances in Well Test Analysis
33	8	ounce	0.02834952	0	1	Advances in Well Test Analysis
34	8	lb	0.45359237	0	1	Advances in Well Test Analysis
35	8	slug	14.5939	0	1	Advances in Well Test Analysis
36	8	ton(US.short)	907.1847	0	1	Advances in Well Test Analysis
37	8	ton(US.long)	1016.047	0	1	Advances in Well Test Analysis
38	8	ton(metric)	1000	0	1	Advances in Well Test Analysis
39	1	Pa	1	0	1	Advances in Well Test Analysis
40	1	atm	101325	0	1	Advances in Well Test Analysis
41	1	bar	100000	0	1	Advances in Well Test Analysis
42	1	cmHg(0C)	1333.22	0	1	Advances in Well Test Analysis
43	1	dyne/cm2	0.1	0	1	Advances in Well Test Analysis
44	1	feet H2O(4C)	2988.98	0	1	Advances in Well Test Analysis
45	1	kg-force/cm2	98066.5	0	1	Advances in Well Test Analysis
46	1	psia	6894.757	0	1	Advances in Well Test Analysis
47	1	psig	6894.757	101325	1	Advances in Well Test Analysis
48	1	kPa	1000	0	1	Advances in Well Test Analysis
49	2	K	1	0	1	Advances in Well Test Analysis
50	2	R	0.555555556	0	1	Advances in Well Test Analysis
51	2	C	1	273.15	1	Advances in Well Test Analysis
